Date,Open,High,Low,Close,Adj Close,Volume
30-03-2022,438.450012,442.5,434.25,435.649994,435.649994,18149488
31-03-2022,436,438.299988,432.600006,433.75,433.75,14248045
01-04-2022,434,442.25,430.850006,441.149994,441.149994,19380324
04-04-2022,444.399994,449.5,441.299988,446.75,446.75,18657201
05-04-2022,450,461.899994,448.299988,458.049988,458.049988,28530470
06-04-2022,455.899994,462.700012,452.600006,456.149994,456.149994,24974477
07-04-2022,456.5,459.100006,448.5,449.5,449.5,19950241
08-04-2022,450,456.25,449.700012,452.049988,452.049988,16315704
11-04-2022,457,458.899994,451,452.049988,452.049988,14339854
12-04-2022,450.799988,450.799988,435,438.299988,438.299988,22698696
13-04-2022,441.799988,442.850006,430.100006,431.049988,431.049988,16817981
18-04-2022,430,436.350006,423.649994,433.799988,433.799988,15298361
19-04-2022,436.75,440.25,417,424.950012,424.950012,12669041
20-04-2022,431,441.700012,428.25,440.549988,440.549988,19639290
21-04-2022,444.5,449.350006,441.049988,448.049988,448.049988,14124872
22-04-2022,442.049988,447.25,438,438.850006,438.850006,14362036
25-04-2022,432.75,436,423.149994,425.149994,425.149994,14729009
26-04-2022,433.899994,437.450012,431.600006,434.899994,434.899994,13577513
27-04-2022,429.25,432.950012,425.100006,430.25,430.25,13701069
28-04-2022,434.799988,439.200012,430.799988,436.049988,436.049988,13875650
29-04-2022,440.200012,447.75,436,437.600006,437.600006,21991752
02-05-2022,437.950012,442.950012,428.5,432.850006,432.850006,18945234
04-05-2022,437.950012,440.600006,420.700012,423.5,423.5,14934742
05-05-2022,429,434,423.700012,426.299988,426.299988,12240729
06-05-2022,418.850006,420.200012,407,408.549988,408.549988,25142225
09-05-2022,407.149994,407.399994,395,403.950012,403.950012,18076956
10-05-2022,400,408.5,389.600006,391.75,391.75,16540303
11-05-2022,396,397,377.549988,388.149994,388.149994,29215175
12-05-2022,382,384.649994,366.200012,372.299988,372.299988,33511538
13-05-2022,387,419.350006,387,404.299988,404.299988,71425747
16-05-2022,411.899994,411.899994,396.25,405.350006,405.350006,24938704
17-05-2022,408.399994,425.649994,405,424.149994,424.149994,24651585
18-05-2022,424,427.350006,414.049988,415.149994,415.149994,20490516
19-05-2022,400,406.799988,396.200012,398.649994,398.649994,17706724
20-05-2022,410,421.399994,410,418,418,23504236
23-05-2022,421.649994,431.149994,419.549988,421.450012,421.450012,16345308
24-05-2022,423.899994,427.5,416,425.75,425.75,14525617
25-05-2022,428.450012,429,413.450012,417,417,13540006
26-05-2022,422,422.649994,405,420.649994,420.649994,17712299
27-05-2022,426.049988,433.25,425.200012,429.600006,429.600006,16867431
30-05-2022,437,445.200012,436,442.399994,442.399994,18500266
31-05-2022,443.950012,449.5,440.399994,443.549988,443.549988,22308219
01-06-2022,445.100006,446,439.600006,444.600006,444.600006,11930669
02-06-2022,445,445.600006,435.649994,439.149994,439.149994,12742438
03-06-2022,444.899994,445.049988,430.5,431.899994,431.899994,12780122
06-06-2022,427.899994,433.950012,424.600006,432.350006,432.350006,11896105
07-06-2022,432.5,438.200012,429.100006,435.850006,435.850006,11153869
08-06-2022,438.700012,440.399994,432,435.649994,435.649994,12844475
09-06-2022,431.899994,435.649994,426.100006,428.5,428.5,13043367
10-06-2022,423,428.850006,422,428.049988,428.049988,11914234
13-06-2022,414.899994,418.149994,405.600006,406.700012,406.700012,17442641
14-06-2022,403,411.850006,397.700012,405.149994,405.149994,19626627
15-06-2022,410,416.399994,407.450012,414.100006,414.100006,15192826
16-06-2022,420,420.899994,390.100006,392.950012,392.950012,22261032
17-06-2022,387.950012,394.450012,382.649994,388.950012,388.950012,24824899
20-06-2022,390.549988,392.950012,376.649994,382.700012,382.700012,17049013
21-06-2022,389,399,387,397.600006,397.600006,14743366
22-06-2022,396.399994,397,390.5,393.100006,393.100006,12426604
23-06-2022,396.299988,409.899994,394.549988,407.200012,407.200012,26514004
24-06-2022,410,412.850006,406.149994,409.299988,409.299988,14806456
27-06-2022,417.549988,419.450012,412.350006,414.5,414.5,12018949
28-06-2022,411.299988,418.200012,409.149994,417.100006,417.100006,13238339
29-06-2022,412.049988,419.899994,411.549988,416.950012,416.950012,13104313
30-06-2022,418.299988,424,410,411.799988,411.799988,20121916
01-07-2022,410.649994,414.600006,402.299988,412.700012,412.700012,14725989
04-07-2022,411.549988,414.899994,405,408.450012,408.450012,11525133
05-07-2022,415,418.799988,410.200012,412,412,16771012
06-07-2022,414,417.299988,410.649994,416.350006,416.350006,12196920
07-07-2022,419.899994,432.950012,419.299988,430.850006,430.850006,17616800
08-07-2022,436.25,443.850006,429.299988,441.549988,441.549988,23730027
11-07-2022,438.049988,441.200012,433.450012,437.049988,437.049988,12619654
12-07-2022,433,435,428.149994,430.549988,430.549988,9518822
13-07-2022,432.700012,435.850006,425.649994,427.100006,427.100006,10181698
14-07-2022,428,431.25,423.299988,428.049988,428.049988,10744547
15-07-2022,430.649994,441.75,429.700012,440.200012,440.200012,15774084
18-07-2022,443.950012,453.799988,443.200012,450.899994,450.899994,21185764
19-07-2022,446.75,451.850006,444.450012,449.049988,449.049988,11553440
20-07-2022,454.350006,460.75,451.75,453.450012,453.450012,17154184
21-07-2022,452.950012,455.5,450.100006,454.850006,454.850006,10931800
22-07-2022,456.600006,459.950012,452.299988,454.899994,454.899994,10340910
25-07-2022,456,457.600006,446.299988,449.549988,449.549988,12505062
26-07-2022,448.700012,448.700012,439.75,441.149994,441.149994,11563528
27-07-2022,441.149994,445,436.100006,444.049988,444.049988,10081023
28-07-2022,440.25,449.25,427.399994,442.25,442.25,36380444
29-07-2022,445.149994,452.700012,445.149994,449.600006,449.600006,16004096
01-08-2022,451.950012,481,451.049988,479.200012,479.200012,43084536
02-08-2022,478.899994,479.899994,469.25,476.25,476.25,19065689
03-08-2022,475,476.25,459.600006,467.799988,467.799988,19125906
04-08-2022,473.149994,473.950012,456.450012,468.899994,468.899994,18540405
05-08-2022,468.899994,472.899994,464,465.25,465.25,11917799
08-08-2022,466,471.899994,464.450012,468.25,468.25,10561754
10-08-2022,470,477.200012,463.350006,475.549988,475.549988,13360759
11-08-2022,482.549988,485,475.600006,476.649994,476.649994,12777503
